"漢字","学年","出題級","画数","音読み","訓読み（送り仮名）","熟語の例","部首の候補","部首のもとの字","部首名","部首の校正状態","同訓異字"
"競","4年","6級から","20","キョウ・ケイ","きそ（う）・せ（る）","競争（きょうそう）・競馬（けいば）・競技（きょうぎ）・競走（きょうそう）・競輪（けいりん）","立","","","未校正",""
"極","4年","6級から","12","キョク・ゴク","きわ（める）・きわまる・きわみ","極限（きょくげん）・極秘（ごくひ）・至極（しごく）・極上（ごくじょう）・終極（しゅうきょく）","木","","","未校正","究める・窮める・窮まる"
"熊","4年","6級から","14","","くま","熊本（くまもと）・小熊（こぐま）","灬","火","","未校正",""
"訓","4年","6級から","10","クン","","訓練（くんれん）・教訓（きょうくん）・音訓（おんくん）","言","","","未校正",""
"軍","4年","6級から","9","グン","","軍隊（ぐんたい）・空軍（くうぐん）・軍備（ぐんび）","","","","未校正",""
"郡","4年","6級から","10","グン","","郡部（ぐんぶ）","⻏","邑","","未校正",""
"群","4年","6級から","13","グン","む（れる）・む（れ）・むら","大群（たいぐん）・群青（ぐんじょう）・群居（ぐんきょ）・群千鳥（むらちどり）","羊","","","未校正",""
"径","4年","6級から","8","ケイ","","直径（ちょっけい）・直情径行（ちょくじょうけいこう）","彳","","","未校正",""
"景","4年","6級から","12","ケイ","","背景（はいけい）・風景（ふうけい）・景気（けいき）・光景（こうけい）","日","","","未校正",""
"芸","4年","6級から","7","ゲイ","","芸術（げいじゅつ）・芸能（げいのう）・文芸（ぶんげい）・園芸（えんげい）・腹芸（はらげい）","艹","艸","","未校正",""
"欠","4年","6級から","4","ケツ","か（ける）・か（く）","補欠（ほけつ）・欠席（けっせき）・欠損（けっそん）","欠","","","未校正",""
"結","4年","6級から","12","ケツ","むす（ぶ）・ゆ（う）・ゆ（わえる）","結果（けっか）・結局（けっきょく）・結構（けっこう）・結論（けつろん）・結合（けつごう）","糸","","","未校正",""
"建","4年","6級から","9","ケン・コン","た（てる）・た（つ）","建築（けんちく）・建設（けんせつ）・建物（たてもの）・建立（こんりゅう）・建議（けんぎ）","廴","","","未校正","立てる・立つ"
"健","4年","6級から","11","ケン","すこやか","健康（けんこう）・強健（きょうけん）","亻","人","","未校正",""
"験","4年","6級から","18","ケン・ゲン","","経験（けいけん）・試験（しけん）・実験（じっけん）・受験（じゅけん）","馬","","","未校正",""
"固","4年","6級から","8","コ","かた（める）・かた（まる）・かた（い）","固定（こてい）・固有（こゆう）","囗","","","未校正","堅い・硬い"
"功","4年","6級から","5","コウ・ク","","成功（せいこう）・功績（こうせき）・功名（こうみょう）・功徳（くどく）","","","","未校正",""
"好","4年","6級から","6","コウ","この（む）・す（く）","友好（ゆうこう）・好調（こうちょう）・好意（こうい）・良好（りょうこう）・好悪（こうお）","女","","","未校正",""
"香","4年","6級から","9","コウ・キョウ","か・かお（り）・かお（る）","香水（こうすい）・線香（せんこう）・香気（こうき）・香車（きょうしゃ）・色香（いろか）","香","","","未校正","薫り・薫る"
"候","4年","6級から","10","コウ","そうろう","候補（こうほ）・気候（きこう）・兆候（ちょうこう）・居候（いそうろう）・候文（そうろうぶん）","亻","人","","未校正",""
"康","4年","6級から","11","コウ","","健康（けんこう）・小康（しょうこう）","广","","","未校正",""
"佐","4年","6級から","7","サ","","補佐（ほさ）・大佐（たいさ）・佐幕（さばく）","亻","人","","未校正",""
"差","4年","6級から","10","サ","さ（す）","差別（さべつ）・差異（さい）・誤差（ごさ）・千差万別（せんさばんべつ）","","","","未校正","刺す・指す・挿す"
"菜","4年","6級から","11","サイ","な","野菜（やさい）・菜園（さいえん）・菜食（さいしょく）・菜種（なたね）・青菜（あおな）","艹","艸","","未校正",""
"最","4年","6級から","12","サイ","もっと（も）","最近（さいきん）・最初（さいしょ）・最終（さいしゅう）・最大（さいだい）・最高（さいこう）","日","曰","","未校正",""
"埼","4年","6級から","11","","さい","埼玉（さいたま）・埼玉県（さいたまけん）","土","","","未校正",""
"材","4年","6級から","7","ザイ","","取材（しゅざい）・人材（じんざい）・材料（ざいりょう）・素材（そざい）・材木（ざいもく）","木","","","未校正",""
"崎","4年","6級から","11","","さき","宮崎（みやざき）・長崎（ながさき）・川崎（かわさき）","山","","","未校正",""
"昨","4年","6級から","9","サク","","昨日（きのう）・昨年（さくねん）・昨今（さっこん）・一昨日（おととい）","日","","","未校正",""
"札","4年","6級から","5","サツ","ふだ","入札（にゅうさつ）・名札（なふだ）・表札（ひょうさつ）","木","","","未校正",""
"刷","4年","6級から","8","サツ","す（る）","印刷（いんさつ）・刷新（さっしん）・増刷（ぞうさつ）","","","","未校正",""
"察","4年","6級から","14","サツ","","警察（けいさつ）・観察（かんさつ）・考察（こうさつ）・察知（さっち）・査察（ささつ）","宀","","","未校正",""
"参","4年","6級から","8","サン","まい（る）","参加（さんか）・参考（さんこう）・持参（じさん）・降参（こうさん）・参内（さんだい）","厶","","","未校正",""
"産","4年","6級から","11","サン","う（む）・う（まれる）・うぶ","生産（せいさん）・産業（さんぎょう）・財産（ざいさん）・出産（しゅっさん）・遺産（いさん）","","","","未校正","生む・生まれる"
"散","4年","6級から","12","サン","ち（る）・ち（らす）・ち（らかす）・ち（らかる）","散歩（さんぽ）・解散（かいさん）・散文（さんぶん）","攵","攴","","未校正",""
"残","4年","6級から","10","ザン","のこ（る）・のこ（す）","残念（ざんねん）・残留（ざんりゅう）・残余（ざんよ）・残暑（ざんしょ）・敗残（はいざん）","歹","","","未校正",""
"氏","4年","6級から","4","シ","うじ","氏名（しめい）・氏神（うじがみ）","氏","","","未校正",""
"司","4年","6級から","5","シ","","上司（じょうし）・司会（しかい）・司令（しれい）・宮司（ぐうじ）","口","","","未校正",""
"試","4年","6級から","13","シ","こころ（みる）・ため（す）","試合（しあい）・試験（しけん）・試練（しれん）・試作（しさく）・追試（ついし）","言","","","未校正",""
"児","4年","6級から","7","ジ・ニ","","児童（じどう）・育児（いくじ）・幼児（おさなご）・鹿児島（かごしま）・小児科（しょうにか）","儿","八","","未校正",""
"治","4年","6級から","8","ジ・チ","おさ（める）・おさ（まる）・なお（る）・なお（す）","政治（せいじ）・自治（じち）・治安（ちあん）・治水（ちすい）・湯治（とうじ）","氵","水","","未校正","修める・修まる・直る・直す"
"滋","4年","6級から","12","ジ","","滋賀（しが）・滋養（じよう）・滋賀県（しがけん）・滋味（じみ）","氵","水","","未校正",""
"辞","4年","6級から","13","ジ","や（める）","辞書（じしょ）・辞職（じしょく）・式辞（しきじ）","","","","未校正",""
"鹿","4年","6級から","11","","しか・か","鹿児島（かごしま）・鹿児島県（かごしまけん）","鹿","","","未校正",""
"失","4年","6級から","5","シツ","うしな（う）","失敗（しっぱい）・損失（そんしつ）・失望（しつぼう）・過失（かしつ）・消失（しょうしつ）","","","","未校正",""
"借","4年","6級から","10","シャク","か（りる）","借金（しゃっきん）・借家（しゃくや）・貸借（たいしゃく）・借用（しゃくよう）","亻","人","","未校正",""
"種","4年","6級から","14","シュ","たね","種類（しゅるい）・各種（かくしゅ）・人種（じんしゅ）・品種（ひんしゅ）・菜種（なたね）","禾","","","未校正",""
"周","4年","6級から","8","シュウ","まわ（り）","周辺（しゅうへん）・周囲（しゅうい）・周知（しゅうち）・円周（えんしゅう）","","","","未校正","回り"
"祝","4年","6級から","9","シュク・シュウ","いわ（う）","祝日（しゅくじつ）・祝賀（しゅくが）・祝言（しゅうげん）","礻","示","","未校正",""
"順","4年","6級から","12","ジュン","","順番（じゅんばん）・順調（じゅんちょう）・順序（じゅんじょ）・従順（じゅうじゅん）・順逆（じゅんぎゃく）","","","","未校正",""
"初","4年","6級から","7","ショ","はじ（め）・はじめて・はつ・うい・そめる","最初（さいしょ）・初期（しょき）・初心者（しょしんしゃ）・初夏（しょか）・初雪（はつゆき）","","","","未校正","始め"
"松","4年","6級から","8","ショウ","まつ","松原（まつばら）・松林（まつばやし）・松竹梅（しょうちくばい）・白砂青松（はくしゃせいしょう）・門松（かどまつ）","木","","","未校正",""
"笑","4年","6級から","10","ショウ","わら（う）・えむ","談笑（だんしょう）・笑覧（しょうらん）","竹","","","未校正",""
"唱","4年","6級から","11","ショウ","とな（える）","合唱（がっしょう）・提唱（ていしょう）・唱歌（しょうか）","口","","","未校正",""
"焼","4年","6級から","12","ショウ","や（く）・や（ける）","燃焼（ねんしょう）・全焼（ぜんしょう）","火","","","未校正",""
"照","4年","6級から","13","ショウ","て（る）・て（らす）・て（れる）","照明（しょうめい）・照会（しょうかい）・対照的（たいしょうてき）","灬","火","","未校正",""
"城","4年","6級から","9","ジョウ","しろ","茨城（いばらき）・宮城（きゅうじょう）・城内（じょうない）・城下町（じょうかまち）・茨城県（いばらきけん）","土","","","未校正",""
"縄","4年","6級から","15","ジョウ","なわ","縄文（じょうもん）・縄張（なわばり）","糸","","","未校正",""
"臣","4年","6級から","7","シン・ジン","","大臣（だいじん）・臣下（しんか）・君臣（くんしん）","臣","","","未校正",""
"信","4年","6級から","9","シン","","通信（つうしん）・信用（しんよう）・信念（しんねん）・信徒（しんと）","亻","人","","未校正",""
"井","4年","6級から","4","セイ・ショウ","い","天井（てんじょう）・井戸（いど）・市井（しせい）・油井（ゆせい）","","","","未校正",""
"成","4年","6級から","6","セイ・ジョウ","な（る）・な（す）","成功（せいこう）・成長（せいちょう）・完成（かんせい）・形成（けいせい）・賛成（さんせい）","戈","","","未校正",""
"省","4年","6級から","9","セイ・ショウ","かえり（みる）・はぶ（く）","反省（はんせい）・省略（しょうりゃく）・帰省（きせい）・各省（かくしょう）・内省（ないせい）","","","","未校正","顧みる"
"清","4年","6級から","11","セイ・ショウ","きよ（い）・きよ（まる）・きよ（める）","清潔（せいけつ）・清算（せいさん）・清貧（せいひん）","氵","水","","未校正",""
"静","4年","6級から","14","セイ・ジョウ","しず・しずか・しず（まる）・しず（める）","静岡（しずおか）・静止（せいし）・静脈（じょうみゃく）・安静（あんせい）・静岡県（しずおかけん）","青","","","未校正","鎮まる・鎮める・沈める"
"席","4年","6級から","10","セキ","","出席（しゅっせき）・座席（ざせき）・欠席（けっせき）・首席（しゅせき）・席上（せきじょう）","","","","未校正",""
"積","4年","6級から","16","セキ","つ（む）・つ（もる）","面積（めんせき）・積雪（せきせつ）・沖積層（ちゅうせきそう）・見積書（みつもりしょ）・積極的（せっきょくてき）","禾","","","未校正",""
"折","4年","6級から","7","セツ","お（る）・おり・お（れる）","右折（うせつ）","扌","手","","未校正",""
"節","4年","6級から","13","セツ・セチ","ふし","季節（きせつ）・節約（せつやく）・関節（かんせつ）・節句（せっく）・節操（せっそう）","竹","","","未校正",""
"説","4年","6級から","14","セツ・ゼイ","と（く）","説明（せつめい）・小説（しょうせつ）・演説（えんぜつ）・遊説（ゆうぜい）","言","","","未校正",""
"浅","4年","6級から","9","セン","あさ（い）","遠浅（とおあさ）・深浅（しんせん）・浅学（せんがく）","氵","水","","未校正",""
"戦","4年","6級から","13","セン","いくさ・たたか（う）","戦争（せんそう）・合戦（かっせん）・苦戦（くせん）・論戦（ろんせん）・乱戦（らんせん）","戈","","","未校正","闘う"
"選","4年","6級から","15","セン","えら（ぶ）","選手（せんしゅ）・選挙（せんきょ）・当選（とうせん）・再選（さいせん）","⻌","辶","","未校正",""
"然","4年","6級から","12","ゼン・ネン","","自然（しぜん）・当然（とうぜん）・天然（てんねん）・必然（ひつぜん）","灬","火","","未校正",""
"争","4年","6級から","6","ソウ","あらそ（う）","戦争（せんそう）・競争（きょうそう）・争議（そうぎ）・係争（けいそう）","","","","未校正",""
"倉","4年","6級から","10","ソウ","くら","倉庫（そうこ）・穀倉（こくそう）","人","","","未校正","蔵"
"巣","4年","6級から","11","ソウ","す","卵巣（らんそう）・営巣（えいそう）・巣箱（すばこ）・病巣（びょうそう）","","","","未校正",""
"束","4年","6級から","7","ソク","たば","約束（やくそく）・結束（けっそく）・花束（はなたば）・装束（しょうぞく）","","","","未校正",""
"側","4年","6級から","11","ソク","がわ","側面（そくめん）・内側（うちがわ）・裏側（うらがわ）・東側（ひがしがわ）・側近（そっきん）","亻","人","","未校正",""
"続","4年","6級から","13","ゾク","つづ（く）・つづ（ける）","連続（れんぞく）・持続（じぞく）・存続（そんぞく）・続出（ぞくしゅつ）・続行（ぞっこう）","糸","","","未校正",""
"卒","4年","6級から","8","ソツ","","卒業（そつぎょう）・卒中（そっちゅう）・兵卒（へいそつ）","","","","未校正",""
"孫","4年","6級から","10","ソン","まご","子孫（しそん）","子","","","未校正",""
"帯","4年","6級から","10","タイ","お（びる）・おび","地帯（ちたい）・連帯（れんたい）・角帯（かくおび）","巾","","","未校正",""
"隊","4年","6級から","12","タイ","","部隊（ぶたい）・軍隊（ぐんたい）・兵隊（へいたい）・隊列（たいれつ）・楽隊（がくたい）","⻖","阜","","未校正",""
"達","4年","6級から","12","タツ","","調達（ちょうたつ）・伝達（でんたつ）・達人（たつじん）・幼友達（おさなともだち）","⻌","辶","","未校正",""
"単","4年","6級から","9","タン","","簡単（かんたん）・単位（たんい）・単独（たんどく）・単身（たんしん）","","","","未校正",""
"置","4年","6級から","13","チ","お（く）","位置（いち）・装置（そうち）・放置（ほうち）・処置（しょち）","罒","网","","未校正",""
"仲","4年","6級から","6","チュウ","なか","仲間（ちゅうげん）・仲裁（ちゅうさい）","亻","人","","未校正","中"
"沖","4年","6級から","7","チュウ","おき","沖積層（ちゅうせきそう）・沖天（ちゅうてん）","氵","水","","未校正",""
"兆","4年","6級から","6","チョウ","きざ（す）・きざ（し）","兆候（ちょうこう）・前兆（ぜんちょう）・億兆（おくちょう）","","","","未校正",""
"低","4年","6級から","7","テイ","ひく（い）・ひく（める）・ひく（まる）","低迷（ていめい）・高低（こうてい）・低気圧（ていきあつ）・低級（ていきゅう）","亻","人","","未校正",""
"底","4年","6級から","8","テイ","そこ","海底（かいてい）・底力（そこぢから）・底流（ていりゅう）","广","","","未校正",""
"的","4年","6級から","8","テキ","まと","目的（もくてき）・画期的（かっきてき）・的中（てきちゅう）・科学的（かがくてき）・具体的（ぐたいてき）","白","","","未校正",""
"典","4年","6級から","8","テン","","典型（てんけい）・古典（こてん）・式典（しきてん）","八","","","未校正",""
"伝","4年","6級から","6","デン","つた（わる）・つた（える）・つた（う）","伝統（でんとう）・宣伝（せんでん）・伝達（でんたつ）・伝授（でんじゅ）・伝記（でんき）","亻","人","","未校正",""
"徒","4年","6級から","10","ト","","徒歩（とほ）・信徒（しんと）・徒党（ととう）・徒労（とろう）・博徒（ばくと）","彳","","","未校正",""
"努","4年","6級から","7","ド","つと（める）","努力（どりょく）","力","","","未校正","勤める・務める"
"灯","4年","6級から","6","トウ","ひ","電灯（でんとう）・点灯（てんとう）・灯台（とうだい）・灯火（とうか）・灯台守（とうだいもり）","火","","","未校正","火"
"働","4年","6級から","13","ドウ","はたら（く）","労働（ろうどう）・実働（じつどう）","亻","人","","未校正",""
"特","4年","6級から","10","トク","","特別（とくべつ）・特許（とっきょ）・独特（どくとく）・特有（とくゆう）・特色（とくしょく）","牛","","","未校正",""
"徳","4年","6級から","14","トク","","道徳（どうとく）・功徳（くどく）・徳義（とくぎ）・徳用（とくよう）・福徳（ふくとく）","彳","","","未校正",""
"栃","4年","6級から","9","","とち","栃木（とちぎ）・栃木県（とちぎけん）","木","","","未校正",""
"奈","4年","6級から","8","ナ","","神奈川（かながわ）・奈良（なら）・奈落（ならく）・神奈川県（かながわけん）・奈良県（ならけん）","大","","","未校正",""
"梨","4年","6級から","11","","なし","山梨（やまなし）・梨花（りか）","木","","","未校正",""
"熱","4年","6級から","15","ネツ","あつ（い）","情熱（じょうねつ）・熱湯（ねっとう）・熱病（ねつびょう）","灬","火","","未校正","暑い"
"念","4年","6級から","8","ネン","","残念（ざんねん）・信念（しんねん）・断念（だんねん）・念願（ねんがん）・疑念（ぎねん）","","","","未校正",""
"敗","4年","6級から","11","ハイ","やぶ（れる）","失敗（しっぱい）・敗北（はいぼく）・勝敗（しょうはい）・敗残（はいざん）","","","","未校正","破れる"
"梅","4年","6級から","10","バイ","うめ","梅雨（つゆ）・梅酒（うめしゅ）・紅梅（こうばい）・松竹梅（しょうちくばい）・梅園（ばいえん）","木","","","未校正",""
"博","4年","6級から","12","ハク・バク","","博覧（はくらん）・博識（はくしき）・博士号（はくしごう）・博徒（ばくと）・博労（ばくろう）","十","","","未校正",""
"阪","4年","6級から","7","ハン","","大阪（おおさか）・阪神（はんしん）・京阪（けいはん）・大阪府（おおさかふ）","⻖","阜","","未校正",""
"飯","4年","6級から","12","ハン","めし","赤飯（せきはん）・五目飯（ごもくめし）","飠","食","","未校正",""
"飛","4年","6級から","9","ヒ","と（ぶ）・と（ばす）","飛行（ひこう）","飛","","","未校正","跳ぶ"
"必","4年","6級から","5","ヒツ","かなら（ず）","必要（ひつよう）・必死（ひっし）・必然（ひつぜん）・必定（ひつじょう）","","","","未校正",""
"票","4年","6級から","11","ヒョウ","","投票（とうひょう）・伝票（でんぴょう）・票決（ひょうけつ）","","","","未校正",""
"標","4年","6級から","15","ヒョウ","","目標（めじるし）・標準（ひょうじゅん）・標本（ひょうほん）","木","","","未校正",""
"不","4年","6級から","4","フ・ブ","","不安（ふあん）・不幸（ふこう）・不当（ふとう）・不利（ふり）・不毛（ふもう）","一","","","未校正",""
"夫","4年","6級から","4","フ・フウ","おっと","夫婦（ふうふ）・工夫（くふう）・夫妻（ふさい）・農夫（のうふ）","","","","未校正",""
"付","4年","6級から","5","フ","つ（ける）・つ（く）","交付（こうふ）・受付（うけつけ）・給付（きゅうふ）","亻","人","","未校正","着ける・就ける・着く・就く"
"府","4年","6級から","8","フ","","政府（せいふ）・幕府（ばくふ）・府県（ふけん）・首府（しゅふ）・大阪府（おおさかふ）","广","","","未校正",""
"阜","4年","6級から","8","フ","","岐阜（ぎふ）・岐阜県（ぎふけん）","阜","","","未校正",""
"富","4年","6級から","12","フ・フウ","と（む）・とみ","豊富（ほうふ）・富山（とやま）・貧富（ひんぷ）・富貴（ふうき）・富強（ふきょう）","宀","","","未校正",""
"副","4年","6級から","11","フク","","副作用（ふくさよう）・副業（ふくぎょう）・正副（せいふく）","刂","刀","","未校正",""
"兵","4年","6級から","7","ヘイ・ヒョウ","","兵器（へいき）・兵隊（へいたい）・兵役（へいえき）・雑兵（ぞうひょう）・兵卒（へいそつ）","","","","未校正",""
"別","4年","6級から","7","ベツ","わか（れる）","特別（とくべつ）・差別（さべつ）・区別（くべつ）・識別（しきべつ）・分別（ふんべつ）","刂","刀","","未校正","分かれる"
"辺","4年","6級から","5","ヘン","あた（り）・べ","周辺（しゅうへん）・海辺（うみべ）・辺境（へんきょう）・岸辺（きしべ）・机辺（きへん）","⻌","辶","","未校正",""
"変","4年","6級から","9","ヘン","か（わる）・か（える）","大変（たいへん）・変化（へんか）・異変（いへん）・変則（へんそく）・変装（へんそう）","","","","未校正","替わる・代わる・換わる・替える・代える・換える"
"便","4年","6級から","9","ベン・ビン","たよ（り）","便利（べんり）・郵便（ゆうびん）・便乗（びんじょう）・簡便（かんべん）・定期便（ていきびん）","亻","人","","未校正",""
"包","4年","6級から","5","ホウ","つつ（む）","包囲（ほうい）・内包（ないほう）・小包（こづつみ）・包容力（ほうようりょく）","","","","未校正",""
"法","4年","6級から","8","ホウ・ハッ・ホッ","","方法（ほうほう）・法律（ほうりつ）・憲法（けんぽう）・法則（ほうそく）・文法（ぶんぽう）","氵","水","","未校正",""
"望","4年","6級から","11","ボウ・モウ","のぞ（む）","希望（きぼう）・欲望（よくぼう）・願望（がんぼう）・志望（しぼう）・失望（しつぼう）","","","","未校正",""
"牧","4年","6級から","8","ボク","まき","牧師（ぼくし）・牧場（ぼくじょう）・牧草（ぼくそう）・遊牧（ゆうぼく）・牧笛（ぼくてき）","牛","","","未校正",""
"末","4年","6級から","5","マツ・バツ","すえ","週末（しゅうまつ）・幕末（ばくまつ）・粉末（ふんまつ）・本末（ほんまつ）・末子（ばっし）","","","","未校正",""
"満","4年","6級から","12","マン","み（ちる）・み（たす）","満足（まんぞく）・未満（みまん）・満員（まんいん）・満月（まんげつ）・豊満（ほうまん）","氵","水","","未校正",""
"未","4年","6級から","5","ミ","","未来（みらい）・未満（みまん）・前代未聞（ぜんだいみもん）・未完（みかん）","","","","未校正",""
"民","4年","6級から","5","ミン","たみ","国民（こくみん）・市民（しみん）・民族（みんぞく）・移民（いみん）・民衆（みんしゅう）","","","","未校正",""
"無","4年","6級から","12","ム・ブ","な（い）","無理（むり）・無事（ぶじ）・有無（うむ）・無名（むめい）・無言（むごん）","灬","火","","未校正","亡い"
"約","4年","6級から","9","ヤク","","約束（やくそく）・条約（じょうやく）・節約（せつやく）・密約（みつやく）・約半分（やくはんぶん）","糸","","","未校正",""
"勇","4年","6級から","9","ユウ","いさ（む）","勇気（ゆうき）・武勇（ぶゆう）","力","","","未校正",""
"要","4年","6級から","9","ヨウ","かなめ・い（る）","必要（ひつよう）・重要（じゅうよう）・要求（ようきゅう）・要因（よういん）・要領（ようりょう）","覀","襾","","未校正","入る"
"養","4年","6級から","15","ヨウ","やしな（う）","栄養（えいよう）・養子（ようし）・休養（きゅうよう）・供養（くよう）・養育（よういく）","","","","未校正",""
"浴","4年","6級から","10","ヨク","あ（びる）・あ（びせる）","海水浴（かいすいよく）・浴場（よくじょう）","氵","水","","未校正",""
"利","4年","6級から","7","リ","き（く）","利益（りえき）・権利（けんり）・便利（べんり）・勝利（しょうり）・不利（ふり）","","","","未校正","効く"
"陸","4年","6級から","11","リク","","着陸（ちゃくりく）・陸地（りくち）・陸橋（りっきょう）・水陸（すいりく）","⻖","阜","","未校正",""
"良","4年","6級から","7","リョウ","よ（い）","奈良（なら）・良心（りょうしん）・良好（りょうこう）・優良（ゆうりょう）・奈良県（ならけん）","艮","","","未校正","善い"
"料","4年","6級から","10","リョウ","","料理（りょうり）・料金（りょうきん）・材料（ざいりょう）・燃料（ねんりょう）・食料（しょくりょう）","","","","未校正",""
"量","4年","6級から","12","リョウ","はか（る）","重量（じゅうりょう）・数量（すうりょう）・力量（りきりょう）・量産（りょうさん）・測量（そくりょう）","","","","未校正","計る・測る・図る・謀る"
"輪","4年","6級から","15","リン","わ","車輪（しゃりん）・競輪（けいりん）・首輪（くびわ）・一輪（いちりん）・輪番（りんばん）","車","","","未校正",""
"類","4年","6級から","18","ルイ","たぐ（い）","種類（しゅるい）・分類（ぶんるい）・類似（るいじ）・類型（るいけい）・魚類（ぎょるい）","頁","","","未校正",""
"令","4年","6級から","5","レイ","","命令（めいれい）・法令（ほうれい）・司令（しれい）・号令（ごうれい）・令妹（れいまい）","人","","","未校正",""
"冷","4年","6級から","7","レイ","つめ（たい）・ひ（える）・ひ（や）・ひ（やす）・ひ（やかす）・さ（める）・さ（ます）","寒冷（かんれい）","冫","氷","","未校正",""
"例","4年","6級から","8","レイ","たと（える）","例外（れいがい）・比例（ひれい）・例年（れいねん）・慣例（かんれい）・用例（ようれい）","亻","人","","未校正",""
"連","4年","6級から","10","レン","つら（なる）・つら（ねる）・つ（れる）","関連（かんれん）・連続（れんぞく）・連合（れんごう）・連盟（れんめい）・連日（れんじつ）","⻌","辶","","未校正",""
"老","4年","6級から","6","ロウ","お（いる）・ふ（ける）","老人（ろうじん）・長老（ちょうろう）・老骨（ろうこつ）・老若（ろうにゃく）","老","","","未校正",""
"労","4年","6級から","7","ロウ","","労働（ろうどう）・苦労（くろう）・労力（ろうりょく）・徒労（とろう）・博労（ばくろう）","力","","","未校正",""
"録","4年","6級から","16","ロク","","記録（きろく）・録音（ろくおん）・実録（じつろく）","金","","","未校正",""
"圧","5年","6級から","5","アツ","","圧力（あつりょく）・気圧（きあつ）・圧巻（あっかん）・低気圧（ていきあつ）","","","","未校正",""
"囲","5年","6級から","7","イ","かこ（む）・かこ（う）","周囲（しゅうい）・包囲（ほうい）・胸囲（きょうい）","囗","","","未校正",""
"移","5年","6級から","11","イ","うつ（る）・うつ（す）","移転（いてん）・移民（いみん）・推移（すいい）","禾","","","未校正",""
"因","5年","6級から","6","イン","よ（る）","原因（げんいん）・要因（よういん）・因果（いんが）","囗","","","未校正",""
"永","5年","6級から","5","エイ","なが（い）","永遠（えいえん）・永久（えいきゅう）・永続（えいぞく）・日永（ひなが）","","","","未校正","長い"
"営","5年","6級から","12","エイ","いとな（む）","経営（けいえい）・営業（えいぎょう）・営巣（えいそう）","口","","","未校正",""
"衛","5年","6級から","16","エイ","","衛生（えいせい）・衛星（えいせい）・護衛（ごえい）・守衛（しゅえい）","","","","未校正",""
"易","5年","6級から","8","エキ・イ","やさ（しい）","貿易（ぼうえき）・容易（ようい）・安易（あんい）・簡易（かんい）・難易（なんい）","日","","","未校正",""
"益","5年","6級から","10","エキ・ヤク","","利益（りえき）・有益（ゆうえき）","","","","未校正",""
"液","5年","6級から","11","エキ","","血液（けつえき）・液体（えきたい）・液状（えきじょう）・血液型（けつえきがた）・乳液（にゅうえき）","氵","水","","未校正",""
"演","5年","6級から","14","エン","","演奏（えんそう）・講演（こうえん）・演技（えんぎ）・演劇（えんげき）・演説（えんぜつ）","氵","水","","未校正",""
"応","5年","6級から","7","オウ","こた（える）","応用（おうよう）・応答（おうとう）・呼応（こおう）","","","","未校正","答える"
"往","5年","6級から","8","オウ","","往復（おうふく）・往来（おうらい）","彳","","","未校正",""
"桜","5年","6級から","10","オウ","さくら","桜花（おうか）・桜色（さくらいろ）・八重桜（やえざくら）・観桜（かんおう）・葉桜（はざくら）","木","","","未校正",""
"可","5年","6級から","5","カ","","可能（かのう）・許可（きょか）・可否（かひ）・可燃性（かねんせい）","","","","未校正",""
"仮","5年","6級から","6","カ・ケ","かり","仮定（かてい）・仮面（かめん）・仮処分（かりしょぶん）・仮装（かそう）・仮病（けびょう）","亻","人","","未校正",""
"価","5年","6級から","8","カ","あたい","評価（ひょうか）・価格（かかく）・価値（かち）・定価（ていか）・安価（あんか）","亻","人","","未校正","値"
"河","5年","6級から","8","カ","かわ","河川（かせん）・運河（うんが）・河口（かこう）","氵","水","","未校正","川"
"過","5年","6級から","12","カ","す（ぎる）・す（ごす）・あやま（つ）・あやま（ち）","過去（かこ）・過程（かてい）・通過（つうか）・過度（かど）・過失（かしつ）","⻌","辶","","未校正",""
"快","5年","6級から","7","カイ","こころよ（い）","快適（かいてき）・快楽（かいらく）・明快（めいかい）・快晴（かいせい）・軽快（けいかい）","忄","心","","未校正",""
"解","5年","6級から","13","カイ・ゲ","と（く）・と（かす）・と（ける）","理解（りかい）・解決（かいけつ）・誤解（ごかい）・解除（かいじょ）・解散（かいさん）","角","","","未校正","溶く・溶かす・溶ける"
"格","5年","6級から","10","カク・コウ","","価格（かかく）・資格（しかく）・性格（せいかく）・規格（きかく）・厳格（げんかく）","木","","","未校正",""
"確","5年","6級から","15","カク","たしか・たし（かめる）","確認（かくにん）・正確（せいかく）・確定（かくてい）","石","","","未校正",""
"額","5年","6級から","18","ガク","ひたい","金額（きんがく）・前額部（ぜんがくぶ）","頁","","","未校正",""
"刊","5年","6級から","5","カン","","週刊（しゅうかん）・刊行（かんこう）・発刊（はっかん）","","","","未校正",""
"幹","5年","6級から","13","カン","みき","幹事（かんじ）・根幹（こんかん）・幹線（かんせん）","","","","未校正",""
"慣","5年","6級から","14","カン","な（れる）・な（らす）","習慣（しゅうかん）・慣例（かんれい）・慣性（かんせい）","忄","心","","未校正",""
"眼","5年","6級から","11","ガン・ゲン","まなこ","主眼（しゅがん）・眼球（がんきゅう）・開眼（かいがん）・眼力（がんりき）・血眼（ちまなこ）","目","","","未校正",""
"紀","5年","6級から","9","キ","","世紀（せいき）・紀行（きこう）・紀元（きげん）・風紀（ふうき）","糸","","","未校正",""
"基","5年","6級から","11","キ","もと・もとい","基準（きじゅん）・基地（きち）","土","","","未校正","下・元・本"
